              |Accel. |Pressure|          |Part- |          |  Mean   |
   Altitude   |due to | scale  | Number   | icle |Collision |  free   |Molecular
              |gravity| height | density  |speed |frequency |  path   | weight
-------+------+-------+--------+----------+------+----------+---------+---------
   Z   |   H  |   g   |  H_P   |    n     |  V   |    nu    |    L    |    M
  (m)  |  (m) |(m/s^2)|  (m)   | (1/m^3)  |(m/s) |   (1/s)  |   (m)   |(kg/kmol)
-------+------+-------+--------+----------+------+----------+---------+---------
  65000  64342  9.6091    6969  3.3934e+21  413.0 8.2944e+05 4.9787e-4  28.964
  65500  64832  9.6076    6929  3.1765e+21  411.7 7.7414e+05 5.3187e-4  28.964
  66000  65322  9.6061    6889  2.9723e+21  410.5 7.2224e+05 5.6840e-4  28.964
  66500  65812  9.6046    6849  2.7802e+21  409.3 6.7354e+05 6.0768e-4  28.964
  67000  66301  9.6031    6809  2.5995e+21  408.1 6.2787e+05 6.4993e-4  28.964
  67500  66791  9.6017    6770  2.4295e+21  406.8 5.8506e+05 6.9539e-4  28.964
  68000  67280  9.6002    6730  2.2698e+21  405.6 5.4493e+05 7.4432e-4  28.964
  68500  67770  9.5987    6690  2.1197e+21  404.4 5.0735e+05 7.9702e-4  28.964
  69000  68259  9.5972    6650  1.9787e+21  403.1 4.7215e+05 8.5381e-4  28.964
  69500  68748  9.5957    6610  1.8464e+21  401.9 4.3921e+05 9.1502e-4  28.964

  70000  69238  9.5942    6570  1.7221e+21  400.6 4.0839e+05 9.8103e-4  28.964
  70500  69727  9.5927    6530  1.6056e+21  399.4 3.7956e+05 1.0522e-3  28.964
  71000  70216  9.5912    6490  1.4963e+21  398.1 3.5260e+05 1.1291e-3  28.964
  71500  70705  9.5897    6450  1.3938e+21  396.9 3.2742e+05 1.2121e-3  28.964
  72000  71194  9.5882    6415  1.2968e+21  395.8 3.0378e+05 1.3028e-3  28.964
  72500  71682  9.5867    6386  1.2049e+21  394.8 2.8160e+05 1.4022e-3  28.964
  73000  72171  9.5852    6358  1.1191e+21  393.9 2.6094e+05 1.5097e-3  28.964
  73500  72660  9.5837    6330  1.0391e+21  393.0 2.4172e+05 1.6260e-3  28.964
